Languages,Location,Speakers 2007,Speakers 2008,Speakers 2009,Speakers 2010,Speakers 2011,Speakers 2012,Speakers 2013,Speakers 2014,Speakers 2015,Articles 2007,Articles 2008,Articles 2009,Articles 2010,Articles 2011,Articles 2012,Articles 2013,Articles 2014,Articles 2015,Users 2007,Users 2008,Users 2009,Users 2010,Users 2011,Users 2012,Users 2013,Users 2014,Users 2015
Italian,Southern Europe,62000000,62000000,62000000,62000000,62000000,62000000,62000000,63655047,63655047,387885,525789,643780,759770,875484,993707,1087702,1166158,1244300,229620,337024,460994,584769,701875,832697,960095,1127673,1308370
Japanese,East Asia,126000000,126000000,126000000,126000000,126000000,126000000,126000000,125000000,125000000,449691,549184,642449,724888,784624,839009,888773,940032,997345,179112,271052,376111,481562,581003,691837,798538,920608,1046268
Javanese,Southeast Asia,75500000,75500000,75500000,75500000,75500000,75500000,75500000,84308740,84308740,11506,15644,23858,30893,37491,41732,46955,48361,48635,764,2395,5253,8082,11723,16274,19995,23056,26558
Kabardian Circassian,Caucasus Central Asia & Middle East,0,0,0,0,1600000,1600000,1600000,1600000,1600000,483,483,483,483,483,855,1322,1466,1544,1160,1160,1160,1160,1160,2134,2975,3635,4389
Kabyle,Africa,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,379,484,577,904,965,1224,1659,2352,2505,106,649,1312,2007,2726,3480,4126,4774,5532
Kalmyk,Eastern Europe,80500,80500,80500,80500,80500,80500,80500,80500,80500,53,65,369,1823,1834,1880,1872,1877,2019,108,563,1223,2240,3021,3751,4394,4877,5475
Kannada,South Asia,38000000,38000000,38000000,38000000,38000000,38000000,38000000,37739040,37739040,4983,6212,7740,9910,11100,12019,14502,17318,18756,1264,2534,4786,7594,10691,13774,17940,23532,30438
Kapampangan,Southeast Asia,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,4336,6164,7346,7419,7465,7704,8290,8517,8488,305,1167,2880,4438,5617,7065,8460,9538,10904
Karachay-Balkar,Eastern Europe,0,0,0,310000,310000,310000,310000,310000,310000,1399,1399,1399,1399,1682,1782,1893,1957,2005,1347,1347,1347,1347,2173,2983,3762,4407,5143
Karakalpak,Caucasus Central Asia & Middle East,0,583410,583410,583410,583410,583410,583410,583410,583410,322,322,408,431,575,616,629,1506,1801,522,522,1196,1930,2634,3369,4032,4610,5475
Kashmiri,South Asia,5600000,5600000,5600000,5600000,5600000,5600000,5600000,5600000,5600000,371,381,380,378,238,227,228,234,265,209,704,1384,2090,2778,3319,3823,4233,4848
Kashubian,Eastern Europe,108000,108000,108000,108000,108000,108000,108000,108000,108000,1618,1703,2368,2522,2964,3159,3763,4421,4841,271,1120,2319,3533,4758,5775,6752,7526,8476
Kazakh,Caucasus Central Asia & Middle East,8331950,,,,8331950,8331950,8331950,8077770,8077770,1782,2805,5650,6768,124989,200813,203849,209881,213820,495,1960,4473,7142,12787,20955,29902,40716,53411
Khmer,Southeast Asia,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,514,2111,2232,2374,3134,3411,4040,4511,4785,274,1569,3345,5265,7489,10076,12652,15097,17596
Kikuyu,Africa,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,22,36,101,108,116,321,357,378,371,114,481,916,1373,1878,2491,2927,3297,3667
Kinyarwanda,Africa,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,105,71,75,409,1807,1815,1818,1844,1785,144,541,989,1518,2691,3548,4259,4871,5551
